transaction_id,order_date,ship_date,order_total,product_category,discount_pct,region
TX1007537,20/09/2025,2025-09-24,420.2,Services,20,East
TX1011654,2025-07-22,2025-07-31,1396.98,Software,20,Central
TX1006600,08/18/2025,2025-08-19,2302.25,Services,0,East
TX1013520,2025-11-27,2025-12-06,1313.98,Services,0,East
TX1005186,2025-09-02,2025-09-06,2558.84,Furniture,0,East
TX1003116,2025-08-24,2025-09-02,1263.91,Software,0,North
TX1005703,04/27/2025,2025-04-28,1839.0,Office Supplies,15,West
TX1014549,10/03/2025,2025-10-06,353.91,ELECTRONICS,20,West
TX1013550,05/08/2025,2025-05-14,1058.45,Furniture,10,Central
TX1008834,2025-01-02,2025-01-10,110.8,Electronics ,15,East
TX1003938,02/03/2025,2025-02-13,633.44,Software,0,West
TX1007586,01/17/2026,2026-01-20,1856.6,Software,25,West
TX1012675,02/11/2025,2025-11-09,2461.91,ELECTRONICS,5,East
TX1013778,01/31/2025,2025-02-07,1072.42,Software,15,Central
TX1000891,01/09/2025,2025-09-09,2680.17,Software,10,Central
TX1008649,2025-07-24,2025-07-29,779.37,Services,25,West
TX1000642,15/04/2025,2025-04-21,2015.14,Services,0,South
TX1007271,2025-05-17,2025-05-18,335.98,Furniture,20,North
TX1009719,07/14/2025,2025-07-22,317.76,ELECTRONICS,10,South
TX1005734,05/07/2025,2025-07-09,1567.57,ELECTRONICS,10,South
TX1011883,2025-05-05,2025-05-11,1594.84,Software,0,Central
TX1008513,2026-02-27,2026-03-07,2354.41,Electronics,25,West
TX1010712,07/07/2025,2025-07-12,1742.99,Services,10,Central
TX1001546,2026-02-16,2026-02-23,1050.69,Office Supplies,10,South
TX1012905,2025-08-06,2025-08-12,893.04, electronics,25,East
TX1007065,13/02/2025,2025-02-15,1079.14,Electronics,15,Central
TX1008066,02/26/2026,2026-03-05,2300.24,Software,20,North
TX1006437,2025-04-09,2025-04-15,2642.86,Office Supplies,20,Central
TX1002553,09/07/2025,2025-09-08,2495.91,Electronics,5,South
TX1013779,29/07/2025,2025-07-31,336.78,Furniture,10,Central
TX1004353,02/19/2026,2026-02-23,1824.3,Office Supplies,20,East
TX1010133,2025-05-28,2025-06-07,636.5,Electronics,15,East
TX1008894,10/10/2025,2025-10-14,1667.46,Office Supplies,25,Central
TX1007309,10/06/2025,2025-06-12,1312.05,Electronics,0,Central
TX1001882,01/11/2025,2025-01-19,1692.23,Electronics,5,South
TX1011294,03/03/2026,2026-03-08,2140.26,Services,5,West
TX1002112,11/06/2025,2025-11-09,2710.71,Office Supplies,25,Central
TX1010261,08/25/2025,2025-08-28,-405.16,Furniture,0,North
TX1013921,05/02/2025,2025-05-04,2383.34,Furniture,25,South
TX1011195,2025-05-12,2025-05-16,2752.41,Software,25,East
TX1001029,02/13/2026,2026-02-23,1029.83,Software,10,South
TX1002787,01/11/2026,2026-01-16,1725.12,ELECTRONICS,5,South
TX1010232,2025-05-02,2025-05-12,2418.82,Furniture,10,Central
TX1001648,07/27/2025,2025-08-02,1302.68,Software,5,South
TX1002463,01/03/2025,2025-01-13,1923.31,Services,25,North
TX1007897,28/05/2025,2025-05-29,1760.12,Services,25,Central
TX1001828,2025-08-24,2025-08-29,2620.51,Services,10,North
TX1003883,23/04/2025,2025-04-27,2523.6,Software,0,North
TX1000225,30/01/2025,2025-02-01,2664.13,Office Supplies,20,North
TX1014227,2025-05-05,2025-05-12,1400.5,Software,25,South
TX1000254,26/08/2025,2025-08-29,904.55,Services,25,Central
TX1012833,2025-05-01,2025-05-08,1744.92,Office Supplies,25,East
TX1001857,2025-10-23,2025-10-30,745.73,Furniture,20,North
TX1004816,2025-12-20,2025-12-29,2648.61, electronics,15,Central
TX1007799,2025-05-16,2025-05-23,495.35,Services,10,South
TX1009403,03/15/2025,2025-03-23,2545.57,Software,10,North
TX1004133,2025-03-10,2025-03-19,2172.03,Electronics,20,West
TX1006715,2025-10-07,2025-10-11,219.34,Furniture,20,Central
TX1013350,2025-05-17,2025-05-26,2094.32,Software,25,North
TX1009633,2025-12-01,2025-12-10,1538.05,Office Supplies,0,South
TX1004995,2025-08-12,2025-08-13,739.74,Software,15,East
TX1012259,02/27/2026,2026-03-03,908.76,Office Supplies,10,West
TX1009064,06/05/2025,2025-06-11,306.5,Software,5,North
TX1011201,2026-01-25,2026-01-31,900.26,Services,20,South
TX1007575,01/21/2025,2025-01-22,2683.48,Office Supplies,15,West
TX1000033,2025-07-19,2025-07-26,510.59, electronics,25,South
TX1001303,02/27/2026,2026-03-07,1185.0,Furniture,15,West
TX1013489,12/12/2025,2025-12-22,1236.38,Office Supplies,10,East
TX1006340,08/31/2025,2025-09-10,2311.0,Furniture,15,South
TX1000663,2025-03-05,2025-03-15,1643.0,Electronics,20,Central
TX1013499,05/20/2025,2025-05-26,721.55,Software,5,South
TX1003065,2025-02-23,2025-02-27,702.06,Furniture,15,West
TX1013235,28/10/2025,2025-11-01,968.64,Office Supplies,25,East
TX1002785,04/15/2025,2025-04-20,1527.54,Software,20,North
TX1008466,2025-03-24,2025-03-26,2275.33,Office Supplies,10,South
TX1007353,22/01/2025,2025-01-26,846.81,Software,5,West
TX1013682,10/16/2025,2025-10-23,1743.26,Services,5,Central
TX1011265,02/10/2025,2025-02-11,659.84,Electronics,10,West
TX1014470,07/02/2025,2025-02-14,28.19,Furniture,15,Central
TX1013015,2025-08-19,2025-08-29,1554.72,Software,25,Central
TX1006031,01/18/2025,2025-01-24,2263.62,Furniture,25,West
TX1002127,2025-08-22,2025-08-24,284.65,Office Supplies,10,East
TX1009894,29/01/2026,2026-01-31,2782.7,Services,10,North
TX1010224,10/09/2025,2025-10-14,750.44,Electronics,10,Central
TX1006786,04/05/2025,2025-05-05,2032.43,ELECTRONICS,5,South
TX1001067,2026-03-09,2026-03-17,1292.49,Software,15,South
TX1009874,17/02/2026,2026-02-27,855.42,Electronics ,10,East
TX1007270,04/09/2025,2025-09-05,1885.33,Software,15,South
TX1011194,22/01/2026,2026-01-30,556.05,Electronics,0,North
TX1000183,2025-09-14,2025-09-24,1944.4,Software,20,East
TX1003303,2026-03-12,2026-03-14,558.65,Services,15,East
TX1007178,2026-01-26,2026-01-31,2790.98,ELECTRONICS,20,East
TX1008368,05/11/2025,2025-05-20,1047.19,Furniture,20,Central
TX1010987,08/03/2025,2025-03-18,1939.54,Software,20,South
TX1013124,02/03/2026,2026-02-09,1788.42,Furniture,10,West
TX1008387,12/02/2026,2026-02-16,202.12,Services,10,Central
TX1001265,2026-01-21,2026-01-23,2225.72, electronics,15,East
TX1000258,10/13/2025,2025-10-19,2398.79,Services,10,West
TX1014639,05/07/2025,2025-07-07,1738.35,Software,10,West
TX1007342,03/04/2025,2025-03-11,2610.28,Office Supplies,0,Central
TX1001933,20/07/2025,2025-07-26,2749.93,Software,5,South
TX1006878,03/03/2026,2026-03-08,2517.49,Furniture,0,North
TX1013619,16/02/2025,2025-02-21,1124.54,Services,25,South
TX1014606,16/10/2025,2025-10-18,253.32,Furniture,25,West
TX1000772,2025-05-01,2025-05-09,2280.95,electronics,20,North
TX1004482,10/08/2025,2025-08-12,2376.11,Services,15,South
TX1004159,01/04/2025,2025-01-07,82.4,Services,25,North
TX1002392,12/17/2025,2025-12-25,2618.97,electronics,10,East
TX1005238,20/04/2025,2025-04-28,585.9,Services,15,East
TX1002115,2025-10-26,2025-11-01,982.56,Furniture,0,West
TX1013456,07/01/2025,2025-07-11,2175.17, electronics,5,North
TX1008928,07/24/2025,2025-08-03,1203.88,Office Supplies,5,North
TX1002033,2025-09-16,2025-09-19,754.45,Furniture,15,Central
TX1006860,2025-12-25,2025-12-27,1740.67,Services,15,South
TX1005834,2025-12-06,2025-12-16,2779.26,Office Supplies,15,South
TX1000058,01/10/2025,2025-01-13,1173.7,Services,0,South
TX1013011,28/11/2025,2025-11-29,439.49,ELECTRONICS,5,Central
TX1000486,01/03/2025,2025-01-10,2119.5,Furniture,20,Central
TX1000193,27/06/2025,2025-06-29,1024.64,Software,25,Central
TX1001691,2025-04-01,2025-04-05,669.87,Software,25,Central
TX1005666,26/06/2025,2025-07-05,1663.16,Office Supplies,15,Central
TX1004173,03/06/2025,2025-03-08,1827.68,Office Supplies,20,Central
TX1004043,2025-05-05,2025-05-11,2784.2,Furniture,20,South
TX1009357,03/04/2026,2026-03-14,974.97,Office Supplies,5,South
TX1012328,21/12/2025,2025-12-29,1635.09,Electronics,10,West
TX1006105,2025-02-01,2025-02-11,2173.93,Services,25,East
TX1007604,2025-11-03,2025-11-12,2062.38,Software,5,East
